Data / Time,CPU Usage %,Memory Available GB
2025-03-03 18:12:26.249023,7.1,45.9184494
2025-03-03 18:12:36.460106,4.3,45.95051193
2025-03-03 18:12:46.693419,6.2,45.94823456
2025-03-03 18:12:57.073557,3.3,46.13747787
2025-03-03 18:13:07.408136,3.1,46.17389297
2025-03-03 18:13:17.647632,2.5,46.16696548
2025-03-03 18:13:27.995863,5.1,46.14795303
2025-03-03 18:13:38.334592,4.2,46.20882416
2025-03-03 18:13:48.670756,3.7,46.12374115
2025-03-03 18:13:58.933890,2.5,46.15970993
2025-03-03 18:14:09.155027,1.9,46.1914978
2025-03-03 18:14:19.391874,1.8,46.15369797
2025-03-03 18:14:29.632480,3.1,46.16496277
2025-03-03 18:14:39.872779,1.5,46.1824379
2025-03-03 18:14:50.116201,2.1,46.20347595
2025-03-03 18:15:00.322362,2.2,46.21204376
2025-03-03 18:15:10.569281,3.7,46.16048813
2025-03-03 18:15:20.834922,3.5,46.12324524
2025-03-03 18:15:31.189679,3,46.10504532
2025-03-03 18:15:41.455745,6.3,46.10993195
2025-03-03 18:15:51.658590,3.4,46.18629837
2025-03-03 18:16:01.817960,2.4,46.19444656
2025-03-03 18:16:12.238924,3.4,46.19987869
2025-03-03 18:16:22.400577,2.7,46.2178421
2025-03-03 18:16:32.619441,3.9,46.05602646
2025-03-03 18:16:42.865778,5.4,46.14524078
2025-03-03 18:16:53.038182,2.8,46.16741943
2025-03-03 18:17:03.237145,4.3,46.1166954
2025-03-03 18:17:13.478432,2.7,46.23282623
2025-03-03 18:17:23.649977,2.8,46.2255249
2025-03-03 18:17:33.881166,3.2,46.21707916
2025-03-03 18:17:44.099213,3.7,46.12856674
2025-03-03 18:17:54.258258,4.6,46.10895157
2025-03-03 18:18:04.434478,4.5,46.23631287
2025-03-03 18:18:14.617121,2.1,46.23932648
2025-03-03 18:18:24.854077,4.7,46.09375
2025-03-03 18:18:35.099651,3.6,46.17815399
2025-03-03 18:18:45.337071,8.6,46.15136337
2025-03-03 18:18:55.579095,3.6,46.34943771
2025-03-03 18:19:05.813927,3.2,46.36319351
2025-03-03 18:19:15.975665,6.2,45.71040344
2025-03-03 18:19:26.195962,6.5,45.95107269
2025-03-03 18:19:36.430458,7.5,45.68758774
2025-03-03 18:19:46.674314,6.3,45.70638275
2025-03-03 18:19:56.928721,8,45.47863388
2025-03-03 18:20:07.153910,6.5,45.70066071
2025-03-03 18:20:17.497398,4.7,45.86903
2025-03-03 18:20:27.768796,4,45.88319397
2025-03-03 18:20:38.033036,3.8,45.70362091
2025-03-03 18:20:48.218881,2.4,45.81616592
2025-03-03 18:20:58.576805,2.7,46.21364975
2025-03-03 18:21:08.903008,2.7,46.21221161
2025-03-03 18:21:19.190188,5.2,46.23527908
2025-03-03 18:21:29.414044,4.2,46.18441391
2025-03-03 18:21:39.624034,2.2,46.2279892
2025-03-03 18:21:49.967826,3,46.28100586
2025-03-03 18:22:00.310474,9.6,46.04983521
